station_coordinates,station_name,station_type,transport_type,station_exploitant
"[48.78992046595464, 2.4505115282905896]",Créteil-Université,METRO,METRO 8,RATP
"[48.881816107252455, 2.3940123983593633]",Danube,METRO,METRO 7bis,RATP
"[48.8395496446341, 2.3957032894363923]",Daumesnil,METRO,METRO 6,RATP
"[48.839041142779394, 2.389620014061438]",Dugommier,METRO,METRO 6,RATP
"[48.844456393634566, 2.440439978057246]",Château de Vincennes,METRO,METRO 1,RATP
"[48.85763140976555, 2.3480365654004007]",Châtelet,METRO,METRO 11,RATP
"[48.877610186483444, 2.3708113953127445]",Colonel Fabien,METRO,METRO 2,RATP
"[48.831129547092026, 2.3435116577497754]",Glacière,METRO,METRO 6,RATP
"[48.83863164530258, 2.322491748462238]",Gaîté,METRO,METRO 13,RATP
"[48.84447014036132, 2.317852783041331]",Falguière,METRO,METRO 12,RATP
"[48.84274677885832, 2.2919124133178745]",Félix Faure,METRO,METRO 8,RATP
"[48.863257944024426, 2.366661093353451]",Filles du Calvaire,METRO,METRO 8,RATP
"[48.85008987711798, 2.3482087741854683]",Maubert-Mutualité,METRO,METRO 10,RATP
"[48.84789564927389, 2.2640820307462213]",Michel Ange-Auteuil,METRO,METRO 9,RATP
"[48.873733164672636, 2.314743542030632]",Miromesnil,METRO,METRO 9,RATP
"[48.88718394593143, 2.3257796748068915]",La Fourche,METRO,METRO 13,RATP
"[48.84874166478328, 2.2989309117480605]",La Motte Picquet-Grenelle,METRO,METRO 6,RATP
"[48.874971744608764, 2.3405759820437195]",Le Peletier,METRO,METRO 7,RATP
"[48.85152370749983, 2.375101033755616]",Ledru Rollin,METRO,METRO 8,RATP
"[48.86080629033762, 2.341108591634066]",Louvre-Rivoli,METRO,METRO 1,RATP
"[48.86963317209047, 2.326272274027748]",Madeleine,METRO,METRO 8,RATP
"[48.868440162341024, 2.4015617127425415]",Pelleport,METRO,METRO 3bis,RATP
"[48.83422588174329, 2.3186164144253834]",Pernety,METRO,METRO 13,RATP
"[48.84506157901035, 2.4012890198273475]",Picpus,METRO,METRO 6,RATP
"[48.830972672053754, 2.35558027407791]",Place d'Italie,METRO,METRO 5,RATP
"[48.85357547156908, 2.3571625716183364]",Pont Marie,METRO,METRO 7,RATP
"[48.872045861792856, 2.3100189324082727]",Saint-Philippe du Roule,METRO,METRO 9,RATP
"[48.869628862844074, 2.354468813108208]",Strasbourg-Saint-Denis,METRO,METRO 4,RATP
"[48.85162059003447, 2.361524965507838]",Sully-Morland,METRO,METRO 7,RATP
"[48.87547445574476, 2.3988675966256006]",Télégraphe,METRO,METRO 11,RATP
"[48.83796121350173, 2.25712222983262]",Porte de Saint-Cloud,METRO,METRO 9,RATP
"[48.827795542560736, 2.305534669653894]",Porte de Vanves,METRO,METRO 13,RATP
"[48.945867271208414, 2.364636482504226]",Saint-Denis - Université,METRO,METRO 13,RATP
"[48.853718933065686, 2.3337761382184663]",Saint-Germain-des-Prés,METRO,METRO 4,RATP
"[48.8415055214255, 2.307948677974289]",Volontaires,METRO,METRO 12,RATP
"[48.84221841267896, 2.329008926235402]",Vavin,METRO,METRO 4,RATP
"[48.923103778731836, 2.2862795775297817]",Les Agnettes,METRO,METRO 13,RATP
"[48.86361093671121, 2.2875801625296517]",Trocadéro,METRO,METRO 6,RATP
"[48.90656714504601, 2.365920319400959]",Front Populaire,METRO,METRO 12,RATP
"[48.86116886366122, 2.3672108677856154]",Saint-Sébastien-Froissart,METRO,METRO 8,RATP
"[48.823151632193444, 2.325509577822383]",Porte d'Orléans,TRAMWAY,TRAM 3a,RATP
"[48.83267687094327, 2.288069457597241]",Porte de Versailles,TRAMWAY,TRAM 3a,RATP
"[48.840001387714224, 2.3795540112141405]",Bercy,METRO,METRO 14,RATP
"[48.87515128697581, 2.3243805554289114]",Saint-Lazare,METRO,METRO 3,RATP
"[48.876126352014495, 2.358047505360746]",Gare de l'Est,METRO,METRO 5,RATP
"[48.884594207093436, 2.337949775692069]",Abbesses,METRO,METRO 12,RATP
