station_coordinates,station_name,station_type,transport_type,station_exploitant
"[48.87481054018848, 2.2958012223518685]",Charles De Gaulle-Étoile,METRO,METRO 2,RATP
"[48.874748649745484, 2.2955602562131467]",Charles De Gaulle-Étoile,METRO,METRO 6,RATP
"[48.8942522613044, 2.3137721574057815]",Porte de Clichy,METRO,METRO 13,RATP
"[48.80570415392358, 2.1690700494304567]",Viroflay Rive Droite,TRAMWAY,TRAM 6,RATP
"[48.95456256184511, 2.3023050820304927]",Épinay-sur-Seine,TRAMWAY,TRAM 11,SNCF
"[48.85394260527926, 2.289334532778806]",Bir-Hakeim,METRO,METRO 6,RATP
"[48.88066746252183, 2.3744959662604246]",Bolivar,METRO,METRO 7bis,RATP
"[48.8653227107436, 2.3567298691737]",Arts et Métiers,METRO,METRO 11,RATP
"[48.88380394146675, 2.350612999325322]",Barbès-Rochechouart,METRO,METRO 2,RATP
"[48.85343696136713, 2.3687365726261684]",Bastille,METRO,METRO 5,RATP
"[48.78000282797376, 2.459363129076404]",Créteil–Préfecture,METRO,METRO 8,RATP
"[48.85043454807889, 2.2936124371878024]",Dupleix,METRO,METRO 6,RATP
"[48.87851411308943, 2.3816145119289653]",Buttes-Chaumont,METRO,METRO 7bis,RATP
"[48.919007554283056, 2.342608014423155]",Carrefour Pleyel,METRO,METRO 13,RATP
"[48.846534635796644, 2.2859992220590066]",Charles Michels,METRO,METRO 10,RATP
"[48.854936377424146, 2.3473213170674256]",Cité,METRO,METRO 4,RATP
"[48.878770366653185, 2.322265213130597]",Europe,METRO,METRO 3,RATP
"[48.89048545381225, 2.3599957663946203]",Marx Dormoy,METRO,METRO 12,RATP
"[48.84505817137918, 2.261745124963671]",Michel Ange-Molitor,METRO,METRO 9,RATP
"[48.873769988661, 2.31445603617697]",Miromesnil,METRO,METRO 13,RATP
"[48.881016496556725, 2.272238940611056]",Les Sablons,METRO,METRO 1,RATP
"[48.870667019963506, 2.3257526352867255]",Madeleine,METRO,METRO 14,RATP
"[48.91196489694664, 2.3339248904797145]",Mairie de Saint-Ouen,METRO,METRO 13,RATP
"[48.8628296709713, 2.3368784003341987]",Palais Royal - Musée du Louvre,METRO,METRO 7,RATP
"[48.8309272400659, 2.3561219387971035]",Place d'Italie,METRO,METRO 6,RATP
"[48.831433629197946, 2.3556436430337095]",Place d'Italie,METRO,METRO 7,RATP
"[48.86496414484482, 2.367901414841736]",Oberkampf,METRO,METRO 5,RATP
"[48.85193594110045, 2.3406130064065036]",Odéon,METRO,METRO 10,RATP
"[48.869939034252084, 2.3325924893559113]",Opéra,METRO,METRO 7,RATP
"[48.83182564955102, 2.314122323459022]",Plaisance,METRO,METRO 13,RATP
"[48.867513024064, 2.346552336353211]",Sentier,METRO,METRO 3,RATP
"[48.86651446080855, 2.3608035032752683]",Temple,METRO,METRO 3,RATP
"[48.888417477833464, 2.391784450963432]",Porte de Pantin,METRO,METRO 5,RATP
"[48.89737479549444, 2.328942812768302]",Porte de Saint-Ouen,METRO,METRO 13,RATP
"[48.87717481837107, 2.4064801569984855]",Porte des Lilas,METRO,METRO 11,RATP
"[48.86590673865971, 2.3341895419682492]",Pyramides,METRO,METRO 14,RATP
"[48.83704511922334, 2.3728257245425715]",Quai de la Gare,METRO,METRO 6,RATP
"[48.84717990913505, 2.385243715115071]",Reuilly-Diderot,METRO,METRO 1,RATP
"[48.87210144119713, 2.404514942379104]",Saint-Fargeau,METRO,METRO 3bis,RATP
"[48.85144170650579, 2.3144081214724865]",Saint-François-Xavier,METRO,METRO 13,RATP
"[48.88566111176713, 2.3425496532584877]",Funiculaire Montmartre Station Haute,VAL,FUNICULAIRE MONTMARTRE,RATP
"[48.86644680513255, 2.3835991095736566]",Ménilmontant,METRO,METRO 2,RATP
"[48.844065596373376, 2.3904821339803877]",Montgallet,METRO,METRO 8,RATP
"[48.88470820039658, 2.2605150792517]",Pont de Neuilly,METRO,METRO 1,RATP
"[48.8585538254322, 2.342232759368107]",Pont Neuf,METRO,METRO 7,RATP
"[48.86460037244116, 2.4080310370758147]",Porte de Bagnolet,METRO,METRO 3,RATP
"[48.88600615057262, 2.2935299663372546]",Porte de Champerret,METRO,METRO 3,RATP
"[48.88796756081547, 2.3734568878525493]",Riquet,METRO,METRO 7,RATP
"[48.84520470264663, 2.2664415417194004]",Chardon Lagache,METRO,METRO 10,RATP
"[48.838734857902175, 2.2821433781708906]",Lourmel,METRO,METRO 8,RATP
"[48.864343777799434, 2.3301298771128605]",Tuileries,METRO,METRO 1,RATP
"[48.86343374103025, 2.4088324651439725]",Porte de Bagnolet,TRAMWAY,TRAM 3b,RATP
"[48.89804144940351, 2.3450784496454853]",Porte de Clignancourt,TRAMWAY,TRAM 3b,RATP
"[48.81060109355984, 2.3003574744281323]",Châtillon-Montrouge,TRAMWAY,TRAM 6,RATP
"[48.840663228364996, 2.3263846107928456]",Edgar Quinet,METRO,METRO 6,RATP
"[48.906700629866656, 2.4605234036744177]",Auguste Delaune,TRAMWAY,TRAM 1,RATP
"[48.906536558124614, 2.4439923345541366]",Hôtel de Ville de Bobigny,TRAMWAY,TRAM 1,RATP
"[48.86823878391211, 2.221410602618015]",Suresnes-Longchamp,TRAMWAY,TRAM 2,RATP
"[48.95550447618455, 2.295591694903069]",Épinay-Orgemont,TRAMWAY,TRAM 8,RATP
"[48.93339059626015, 2.300626211232596]",Timbaud,TRAMWAY,TRAM 1,RATP
"[48.8675213562803, 2.4089789397445074]",Séverine,TRAMWAY,TRAM 3b,RATP
"[48.83986483089535, 2.408874539222468]",Montempoivre,TRAMWAY,TRAM 3a,RATP
"[48.897429960845656, 2.394968407167714]",Ella Fitzgerald,TRAMWAY,TRAM 3b,RATP
"[48.96350234744357, 2.360213791734573]",Mairie de Pierrefitte,TRAMWAY,TRAM 5,RATP
"[48.95557634707396, 2.3583228561508633]",Joncherolles,TRAMWAY,TRAM 5,RATP
"[48.78310754951454, 2.367157833315663]",Lamartine,TRAMWAY,TRAM 7,RATP
"[48.77893639215157, 2.3674058644972846]",Domaine Chérioux,TRAMWAY,TRAM 7,RATP
"[48.78353933183029, 2.2252802952811885]",Meudon-la-Forêt,TRAMWAY,TRAM 6,RATP
"[48.78140431995061, 2.2091292272948757]",Inovel Parc Nord,TRAMWAY,TRAM 6,RATP
"[48.94958134418316, 2.3425218260403127]",César,TRAMWAY,TRAM 8,RATP
"[48.908527016896606, 2.5322874421850665]",Léon Blum,TRAMWAY,TRAM 4,SNCF
"[48.90841688545126, 2.539173330939577]",Maurice Audin,TRAMWAY,TRAM 4,SNCF
"[48.889007648572594, 2.3956810747116024]",Porte de Pantin,TRAMWAY,TRAM 3b,RATP
"[48.768442357942064, 2.4028603221912603]",Verdun Hoche,TRAMWAY,TRAM 9,KEOLIS
"[48.75920002853775, 2.408875606162366]",Carle-Darthe,TRAMWAY,TRAM 9,KEOLIS
"[48.746942401670225, 2.4163208947708146]",Les Saules,TRAMWAY,TRAM 9,KEOLIS
"[48.78362462122326, 2.214433502050176]",Dewoitine,TRAMWAY,TRAM 6,RATP
"[48.79988738224288, 2.2819513201694472]",Parc André Malraux,TRAMWAY,TRAM 6,RATP
"[48.81262937519268, 2.3706612489603813]",Cimetière Parisien d'Ivry,TRAMWAY,TRAM 9,KEOLIS
"[48.807214331925785, 2.3749115993548338]",La Briqueterie,TRAMWAY,TRAM 9,KEOLIS
"[49.01340270384009, 2.541951696822007]",Terminal 1,VAL,CDGVAL,Transdev
"[48.91800820485815, 2.362470767055212]",La Plaine-Stade de France,RER,RER B,SNCF
"[48.92530879617841, 1.4434127390456772]",Bueil,TRAIN,GL,SNCF
"[48.28627700877569, 3.2017673450549204]",Pont-sur-Yonne,TRAIN,GL,SNCF
"[48.931959085433014, 2.4971165154707378]",Aulnay-sous-Bois,TRAMWAY,TRAM 4,SNCF
"[48.69910694601902, 2.506676982547087]",Brunoy,RER,RER D,SNCF
"[48.487373093663614, 2.7504830973688112]",Fontaine-le-Port,TRAIN,TRAIN R,SNCF
"[48.545296264923, 3.286679528098299]",Champbenoist-Poigny,TRAIN,TRAIN P,SNCF
"[49.126209959725394, 2.5070138416038654]",La Borne Blanche,RER,RER D,SNCF
"[48.84615720389792, 2.2784003863661018]",Javel - André Citroën,METRO,METRO 10,RATP
"[48.893805859684164, 2.482032922407471]",Bondy,TRAMWAY,TRAM 4,SNCF
"[48.95900165452811, 2.3283518828743324]",Épinay Villetaneuse,TRAMWAY,TRAM 11,SNCF
"[48.85778351365199, 2.434538451473473]",Croix de Chavaux,METRO,METRO 9,RATP
"[48.84023383539418, 2.35160647530219]",Censier-Daubenton,METRO,METRO 7,RATP
"[48.87262083899373, 2.3561539474503386]",Château d'Eau,METRO,METRO 4,RATP
"[48.85958965464833, 2.3464781835875943]",Châtelet,METRO,METRO 14,RATP
"[48.837099427289054, 2.296231386803388]",Convention,METRO,METRO 12,RATP
"[48.88399982396176, 2.3285301398903795]",Place de Clichy,METRO,METRO 2,RATP
"[48.884284149322156, 2.3658215462820884]",Stalingrad,METRO,METRO 2,RATP
"[48.88233342277264, 2.321801731063168]",Rome,METRO,METRO 2,RATP
"[48.83173796343587, 2.237436786980606]",Billancourt,METRO,METRO 9,RATP
"[48.85200902958603, 2.36867458439179]",Bastille,METRO,METRO 1,RATP
"[48.86497810694326, 2.3969128470866257]",Gambetta,METRO,METRO 3,RATP
"[48.88439967613092, 2.360399500808731]",La Chapelle,METRO,METRO 2,RATP
"[48.842412769424165, 2.2596084727525714]",Exelmans,METRO,METRO 9,RATP
"[48.86940219572108, 2.3538187935928794]",Strasbourg-Saint-Denis,METRO,METRO 9,RATP
"[48.881094426231876, 2.3147210047461946]",Villiers,METRO,METRO 3,RATP
"[48.84370073905763, 2.4101095555973178]",Alexandra David-Néel,TRAMWAY,TRAM 3a,RATP
"[48.89783032536413, 2.338230427133583]",Angélique Compoint,TRAMWAY,TRAM 3b,RATP
"[48.913710544615356, 2.3807356063950937]",Mairie d'Aubervilliers,METRO,METRO 12,RATP
"[48.837052611110636, 2.074443574703382]",Bailly,TRAMWAY,TRAM 13,TRANSKEO
"[48.76556476353476, 2.2595761148665066]",Cité-Jardin,TRAMWAY,TRAM 10,RD Bièvre
"[49.04516945934257, 2.322917846227108]",Bouffémont-Moisselles,TRAIN,TRAIN H,SNCF
"[48.78031379546215, 2.312307716888593]",Bourg-la-Reine,RER,RER B,RATP
"[48.529746917640566, 2.572073662735742]",Boissise-le-Roi,RER,RER D,SNCF
"[48.75218571985377, 2.504559838342837]",Boissy-Saint-Léger,RER,RER A,RATP
"[49.09188299534144, 3.0626904069870555]",Crouy-sur-Ourcq,TRAIN,TRAIN P,SNCF
"[48.725535303926115, 2.419565024387933]",Ablon,RER,RER C,SNCF
"[48.31129627381493, 2.0035250000979885]",Angerville,TRAIN,GL,SNCF
"[48.79333629530144, 2.3222016336701206]",Bagneux,RER,RER B,RATP
"[48.81894780000307, 2.2298080037295134]",Bellevue,TRAIN,TRAIN N,SNCF
"[48.882681045735296, 2.8543159264638946]",Couilly-Saint-Germain-Quincy,TRAIN,TRAIN P,SNCF
"[48.85955731593991, 2.9057369645485336]",Crécy-la-Chapelle,TRAIN,TRAIN P,SNCF
"[48.8058407886765, 2.6191944124556525]",Émerainville-Pontault-Combault,RER,RER E,SNCF
"[48.95810052145, 2.328463877708283]",Épinay-Villetaneuse,TRAIN,TRAIN H,SNCF
"[48.96334411182407, 1.8090945087737829]",Épône-Mézières,TRAIN,TRAIN N,SNCF
"[48.96334411182407, 1.8090945087737829]",Épône-Mézières,TRAIN,TRAIN J,SNCF
"[48.980646099492056, 2.2720847727476317]",Ermont-Eaubonne,TRAIN,TRAIN H,SNCF
"[49.03646397979169, 2.079534939997373]",Cergy-Préfecture,TRAIN,TRAIN L,SNCF
"[48.959164062128664, 3.0261112942860646]",Changis-Saint-Jean,TRAIN,TRAIN P,SNCF
"[48.97036693301553, 2.027518775677184]",Chanteloup-les-Vignes,TRAIN,TRAIN J,SNCF
"[49.069314134565126, 2.1416969327799578]",Chaponval,TRAIN,TRAIN H,SNCF
"[48.861822271863645, 2.3470126872387564]",Châtelet-Les Halles,RER,RER D,RATP
"[48.87414408208016, 2.583331158055107]",Chelles-Gournay,TRAIN,TRAIN P,SNCF
"[48.74794190095198, 2.312711013515798]",Chemin d'Antony,RER,RER C,SNCF
"[48.743483984990334, 1.9210366000397376]",Coignières,TRAIN,TRAIN N,SNCF
"[48.99139140194027, 2.6650598693073007]",Compans,TRAIN,TRAIN K,SNCF
"[48.99371347945197, 2.234276393996537]",Franconville-Le Plessis-Bouchard,TRAIN,TRAIN H,SNCF
"[48.883734280042844, 2.525434250765842]",Gagny,RER,RER E,SNCF
"[48.374525012439406, 2.059912347637065]",Guillerval,TRAIN,GL,SNCF
"[48.79602536686587, 1.6027016929905986]",Houdan,TRAIN,TRAIN N,SNCF
"[48.43692393670402, 2.1595305875651536]",Étampes,RER,RER C,SNCF
"[48.49364457756063, 2.1945817005254256]",Étréchy,RER,RER C,SNCF
"[48.689764621447345, 2.382846099452605]",Juvisy,RER,RER C,SNCF
"[48.992241280352914, 1.8451344435023873]",Juziers,TRAIN,TRAIN J,SNCF
"[48.3936415468044, 2.3934107240666367]",Maisse,RER,RER D,SNCF
"[48.98365450660709, 1.715210986447545]",Mantes-Station,TRAIN,TRAIN J,SNCF
"[48.725997091123524, 2.2583229936112406]",Massy-Palaiseau,RER,RER C,SNCF
"[48.57059685778347, 2.432098533660356]",Mennecy,RER,RER D,SNCF
"[49.077699041884806, 2.2054467255247343]",Mériel,TRAIN,TRAIN H,SNCF
"[48.80749262484541, 2.240883069335647]",Meudon-Val-Fleury,RER,RER C,SNCF
"[48.379526103248374, 2.9425234127023696]",Montereau,TRAIN,TRAIN R,SNCF
"[48.80260197997195, 1.8164667941986066]",Montfort-L'Amaury-Méré,TRAIN,TRAIN N,SNCF
"[48.79538383468007, 2.5134232981847133]",La Varenne-Chennevières,RER,RER A,RATP
"[48.7054039238503, 2.1927348848067565]",Le Guichet,RER,RER B,RATP
"[48.693096590281584, 1.856592065287129]",Le Perray,TRAIN,TRAIN N,SNCF
"[48.8900862346195, 2.134600875228716]",Le Vésinet-Centre,RER,RER A,RATP
"[48.91363686212216, 2.2573260237852075]",Les Vallées,TRAIN,TRAIN L,SNCF
"[48.984172754372004, 1.7477861829061603]",Limay,TRAIN,TRAIN J,SNCF
"[49.02175726770351, 3.0317584458367772]",Lizy-sur-Ourcq,TRAIN,TRAIN P,SNCF
"[48.83921929901705, 2.6332109134176322]",Lognes,RER,RER A,RATP
"[48.86121452766865, 2.123191095956035]",Louveciennes,TRAIN,TRAIN L,SNCF
"[49.049325599952056, 2.501758065846462]",Louvres,RER,RER D,SNCF
"[48.770778916124826, 2.6902527821957585]",Ozoir-la-Ferrière,RER,RER E,SNCF
"[48.89811230534608, 2.400361703159175]",Pantin,RER,RER E,SNCF
"[48.97342490628139, 2.5143602855334923]",Parc des Expositions,RER,RER B,SNCF
"[48.67638132523691, 2.333249457132578]",Petit-Vaux,RER,RER C,SNCF
"[48.89574531027312, 2.2232129684066613]",Nanterre-Préfecture,RER,RER A,RATP
"[48.896652450209764, 2.458363412015992]",Noisy-le-Sec,RER,RER E,SNCF
"[48.6363513661665, 2.4077962861739053]",Orangis-Bois de l'Epine,RER,RER D,SNCF
"[48.82657842713354, 1.7032184254768585]",Orgerus-Béhoust,TRAIN,TRAIN N,SNCF
"[48.93326540519439, 2.0410722896759257]",Poissy,RER,RER A,SNCF
"[48.748349681429666, 2.373111940704934]",Pont de Rungis,RER,RER C,SNCF
"[48.635875860403985, 2.3068331640148245]",Saint-Michel-sur-Orge,RER,RER C,SNCF
"[49.045311647416625, 2.1051107034445073]",Saint-Ouen-l'Aumône,RER,RER C,SNCF
"[49.03398763533776, 2.128263873923672]",Saint-Ouen-l'Aumône-Liesse,TRAIN,TRAIN H,SNCF
"[48.97098803345075, 2.263830527175665]",Sannois,TRAIN,TRAIN J,SNCF
"[48.996006829560066, 2.3686845627963335]",Sarcelles-Saint-Brice,TRAIN,TRAIN H,SNCF
"[48.93773606248046, 2.157086496469817]",Sartrouville,RER,RER A,SNCF
"[48.8833838128909, 2.2336919201504086]",Puteaux,TRAIN,TRAIN U,SNCF
"[48.86991241825165, 2.4857611406117885]",Rosny-sous-Bois,RER,RER E,SNCF
"[48.997391999985346, 1.630167627298459]",Rosny-sur-Seine,TRAIN,TRAIN J,SNCF
"[48.84610294770648, 2.2176210808904337]",Saint-Cloud,TRAIN,TRAIN L,SNCF
"[48.79870763435358, 2.0718470059294005]",Saint-Cyr,RER,RER C,SNCF
"[48.93445554412717, 2.3456043781962896]",Saint-Denis,TRAIN,TRAIN H,SNCF
"[48.42736258324724, 2.1452465929031157]",Saint-Martin-d'Étampes,RER,RER C,SNCF
"[48.81532861955605, 1.877504204313638]",Villiers-Neauphle Pontchartrain,TRAIN,TRAIN N,SNCF
"[49.00670027680786, 1.919237111731365]",Thun-le-Paradis,TRAIN,TRAIN J,SNCF
"[48.96022648980192, 2.950060382752808]",Trilport,TRAIN,TRAIN P,SNCF
"[48.962709512366416, 2.5126446278196126]",Villepinte,RER,RER B,SNCF
"[48.34261367922731, 3.071746453743138]",Villeneuve-la-Guyard,TRAIN,GL,SNCF
"[49.26394414357276, 2.4689141153510383]",Creil,RER,RER D,SNCF
"[49.166775038874846, 2.362303528565356]",Boran-sur-Oise,TRAIN,TRAIN H,SNCF
"[49.23101805923178, 2.887366704975861]",Crépy-en-Valois,TRAIN,TRAIN K,SNCF
"[49.14288419739151, 2.7944545501073197]",Nanteuil-le-Haudouin,TRAIN,TRAIN K,SNCF
"[48.89658112768104, 2.3738190054032113]",Rosa Parks,RER,RER E,SNCF
"[48.82723877447488, 2.200721257947834]",Sèvres-Ville-d'Avray,TRAIN,TRAIN U,SNCF
"[48.894168385277624, 2.3155992205467677]",Porte de Clichy,RER,RER C,SNCF
"[48.88333487561934, 2.233871433790775]",Puteaux,TRAMWAY,TRAM 2,RATP
"[48.86251523404101, 2.3457858600391797]",Les Halles,METRO,METRO 4,RATP
"[49.010001865217326, 2.5605588439018763]",Terminal 3 - Roissypole,VAL,CDGVAL,Transdev
"[48.833073169694686, 2.333203670349574]",Denfert-Rochereau,RER,RER B,RATP
"[48.98500470032524, 2.2574741572503094]",Cernay,RER,RER C,SNCF
"[48.87499705814552, 2.328685515718797]",Haussmann-Saint-Lazare,RER,RER E,SNCF
"[48.881759488218286, 2.357570193470876]",Gare du Nord,RER,RER B,SNCF
"[48.862884803620496, 2.3125135549259594]",Invalides,RER,RER C,SNCF
"[48.7695633327529, 2.309905064564245]",Parc de Sceaux,RER,RER B,RATP
"[48.88604139898206, 2.299279102380643]",Pereire-Levallois,RER,RER C,SNCF
"[48.26775810899744, 2.68564708993975]",Nemours-Saint-Pierre,TRAIN,TRAIN R,SNCF
"[49.01531915094301, 2.2428386605648356]",Saint-Leu-la-Forêt,TRAIN,TRAIN H,SNCF
"[48.854251702558244, 2.1321324452511017]",Bougival,TRAIN,TRAIN L,SNCF
"[48.85697199491403, 2.274793324608879]",Boulainvilliers,RER,RER C,SNCF
"[49.04787620243536, 2.010999760003632]",Cergy Le Haut,TRAIN,TRAIN L,SNCF
"[48.70088331811131, 2.306992605850876]",Chilly-Mazarin,RER,RER C,SNCF
"[48.819343961671926, 2.2578938975150784]",Issy,RER,RER C,SNCF
"[48.81488431327983, 2.2409192948665337]",Meudon,TRAIN,TRAIN N,SNCF
"[48.891688138011865, 2.2385952173384704]",La Défense,RER,RER A,RATP
"[48.72191596012357, 1.8900045636979848]",Les-Essarts-le-Roi,TRAIN,TRAIN N,SNCF
"[49.014133684049256, 2.078306591409993]",Neuville Université,TRAIN,TRAIN L,SNCF
"[48.88822016183026, 2.313732451520271]",Pont-Cardinet,TRAIN,TRAIN L,SNCF
"[48.852118881696434, 2.3440211520552796]",Saint-Michel,RER,RER B,RATP
"[48.834292979538596, 2.3328523099608898]",Denfert-Rochereau,METRO,METRO 6,RATP
"[48.8434867608722, 2.3739225903167536]",Gare de Lyon,METRO,METRO 14,RATP
"[48.87979369318188, 2.3557919075311387]",Gare du Nord,METRO,METRO 4,RATP
"[48.84757936654253, 2.395554512170687]",Nation,METRO,METRO 1,RATP
"[48.89212336289817, 2.2372135364577126]",La Défense,TRAMWAY,TRAM 2,RATP
"[48.935266144884885, 2.347862407755532]",Saint-Denis,TRAMWAY,TRAM 8,RATP
"[48.90101049482036, 2.2135566086399576]",Nanterre-Université,RER,RER A,RATP
"[48.90131105510631, 2.21330231459666]",Nanterre-Université,TRAIN,TRAIN L,SNCF
"[48.84109405631434, 2.2879457664873772]",Boucicaut,METRO,METRO 8,RATP
"[48.82818847537889, 2.3271646496078233]",Alésia,METRO,METRO 4,RATP
"[48.84699703040198, 2.295019130476361]",Avenue Émile Zola,METRO,METRO 10,RATP
"[48.853439426633884, 2.369513568156525]",Bastille,METRO,METRO 8,RATP
"[48.841338248197566, 2.4009185367798023]",Bel-Air,METRO,METRO 6,RATP
"[48.87184879372683, 2.376593684096822]",Belleville,METRO,METRO 11,RATP
"[48.82979051275835, 2.350414872010463]",Corvisart,METRO,METRO 6,RATP
"[48.81480300606579, 2.4223761428456223]",École Vétérinaire de Maisons-Alfort,METRO,METRO 8,RATP
"[48.847150053875964, 2.269135872742879]",Église d'Auteuil,METRO,METRO 10,RATP
"[48.89058718567746, 2.32017475715155]",Brochant,METRO,METRO 13,RATP
"[48.846656850308115, 2.3516232550160123]",Cardinal Lemoine,METRO,METRO 10,RATP
"[48.86760214428706, 2.3138941304816143]",Champs-Élysées – Clemenceau,METRO,METRO 13,RATP
"[48.83494772231993, 2.3681263304132094]",Chevaleret,METRO,METRO 6,RATP
"[48.86995751176857, 2.3710948397312004]",Goncourt,METRO,METRO 11,RATP
"[48.86516343394703, 2.398746593442591]",Gambetta,METRO,METRO 3bis,RATP
"[48.85017786186515, 2.3840922100556665]",Faidherbe Chaligny,METRO,METRO 8,RATP
"[48.86479406396573, 2.2941620153942783]",Iéna,METRO,METRO 9,RATP
"[48.84595066481561, 2.3550502644347535]",Jussieu,METRO,METRO 7,RATP
"[48.89143955394805, 2.349627158227452]",Marcadet-Poissonniers,METRO,METRO 4,RATP
"[48.83362878011957, 2.2435786287393293]",Marcel Sembat,METRO,METRO 9,RATP
"[48.84524756452023, 2.261623492404885]",Michel Ange-Molitor,METRO,METRO 10,RATP
"[48.83711700605412, 2.4023331645551846]",Michel Bizot,METRO,METRO 8,RATP
"[48.8471310072617, 2.2727637533161587]",Mirabeau,METRO,METRO 10,RATP
"[48.888706018840786, 2.2880836330485033]",Louise Michel,METRO,METRO 3,RATP
"[48.81052080334999, 2.3842896009608205]",Mairie d'Ivry,METRO,METRO 7,RATP
"[48.85744868914132, 2.2858124441464076]",Passy,METRO,METRO 6,RATP
"[48.815930762121624, 2.3772672015137384]",Pierre et Marie Curie,METRO,METRO 7,RATP
"[48.876806388278496, 2.393056091960662]",Place des Fêtes,METRO,METRO 11,RATP
"[48.865019008102834, 2.368011378256502]",Oberkampf,METRO,METRO 9,RATP
"[48.87130850207131, 2.3314939870870903]",Opéra,METRO,METRO 3,RATP
"[48.87048333199217, 2.331186346851651]",Opéra,METRO,METRO 8,RATP
"[48.85377278708037, 2.411894837056435]",Porte de Montreuil,METRO,METRO 9,RATP
"[48.85523625186787, 2.360956490023828]",Saint-Paul,METRO,METRO 1,RATP
"[48.846878237916876, 2.326792785027681]",Saint-Placide,METRO,METRO 4,RATP
"[48.851762051560954, 2.3268225688974966]",Sèvres-Babylone,METRO,METRO 12,RATP
"[48.845626965812635, 2.3095314914609446]",Sèvres-Lecourbe,METRO,METRO 6,RATP
"[48.87711051082896, 2.4067292455430898]",Porte des Lilas,METRO,METRO 3bis,RATP
"[48.86963799595273, 2.336232756868916]",Quatre Septembre,METRO,METRO 3,RATP
"[48.84845784851418, 2.3277821284985802]",Rennes,METRO,METRO 12,RATP
"[48.86799910798849, 2.3650748610827637]",République,METRO,METRO 11,RATP
"[48.867026787539906, 2.3642479951047055]",République,METRO,METRO 3,RATP
"[48.85572642769865, 2.422983216145875]",Robespierre,METRO,METRO 9,RATP
"[48.929935888744524, 2.3560357941727963]",Saint-Denis - Porte de Paris,METRO,METRO 13,RATP
"[48.83290081472565, 2.3371351933438995]",Saint-Jacques,METRO,METRO 6,RATP
"[48.84881637243505, 2.321257862893747]",Vaneau,METRO,METRO 10,RATP
"[48.87663081405537, 2.4069995826938304]",Porte des Lilas,TRAMWAY,TRAM 3b,RATP
"[48.87627270166968, 2.3580579070747376]",Gare de l'Est,METRO,METRO 7,RATP
"[48.84373548838398, 2.324353041157966]",Montparnasse Bienvenüe,METRO,METRO 12,RATP
"[48.860786962592236, 2.320998191954084]",Assemblée Nationale,METRO,METRO 12,RATP
"[48.85745183080862, 2.3510084614060256]",Hôtel de Ville,METRO,METRO 11,RATP
"[48.87126214352652, 2.2932406499473132]",Kléber,METRO,METRO 6,RATP
"[48.88094656262635, 2.364993472400181]",Louis Blanc,METRO,METRO 7,RATP
"[48.84733558368036, 2.408089407236094]",Porte de Vincennes,METRO,METRO 1,RATP
"[48.869798555526245, 2.285335094686168]",Victor Hugo,METRO,METRO 2,RATP
"[48.89738989064754, 2.385508387668672]",Porte de la Villette,METRO,METRO 7,RATP
"[48.920785968128676, 2.410598616469425]",La Courneuve 8 Mai 1945,TRAMWAY,TRAM 1,RATP
"[48.83187246656264, 2.2872071378229086]",Porte de Versailles,TRAMWAY,TRAM 2,RATP
"[48.85298727696923, 2.410741136126436]",Porte de Montreuil,TRAMWAY,TRAM 3b,RATP
"[48.835522207414705, 2.4066571471351015]",Porte Dorée,TRAMWAY,TRAM 3a,RATP
"[48.78728034911433, 2.366988444947912]",Villejuif-Louis Aragon,TRAMWAY,TRAM 7,RATP
"[48.82999019896456, 2.3757479832156028]",Bibliothèque François Mitterrand,METRO,METRO 14,RATP
"[48.84038874716129, 2.3799112714543975]",Bercy,METRO,METRO 6,RATP
"[48.84236008153237, 2.3655817027477433]",Gare d'Austerlitz,METRO,METRO 5,RATP
"[48.87755125086984, 2.2831622422302287]",Porte Maillot,METRO,METRO 1,RATP
"[48.803355236116154, 2.445574101030144]",Maisons-Alfort-Les Juilliottes,METRO,METRO 8,RATP
"[48.81945368605909, 2.36519093257928]",Porte de Choisy,TRAMWAY,TRAM 9,KEOLIS
"[48.89714381844798, 2.506408247006797]",Allée de la Tour Rendez-Vous,TRAMWAY,TRAM 4,SNCF
"[48.893094627698034, 2.487910986261172]",La Remise à Jorelle,TRAMWAY,TRAM 4,SNCF
"[48.89259977921381, 2.4997571852395075]",Les Coquetiers,TRAMWAY,TRAM 4,SNCF
"[48.90693183120003, 2.438624497227671]",Libération,TRAMWAY,TRAM 1,RATP
"[48.843124398977956, 2.2218514947520127]",Parc de Saint-Cloud,TRAMWAY,TRAM 2,RATP
"[48.90470320284604, 2.4699715449785757]",Pont de Bondy,TRAMWAY,TRAM 1,RATP
"[48.834750009420546, 2.2712415009378293]",Henri Farman,TRAMWAY,TRAM 2,RATP
"[48.95543742517309, 2.3078725683542296]",Gilbert Bonnemaison,TRAMWAY,TRAM 8,RATP
"[48.9327902070866, 2.3012912911296626]",Timbaud,TRAMWAY,TRAM 1,RATP
"[48.914047680632855, 2.229571613274197]",Victor Basch,TRAMWAY,TRAM 2,RATP
"[48.82557023396387, 2.3811655878010214]",Avenue de France,TRAMWAY,TRAM 3a,RATP
"[48.82435490096538, 2.3776615306957365]",Maryse Bastié,TRAMWAY,TRAM 3a,RATP
"[48.89388028159559, 2.3977388506469786]",Delphine Seyrig,TRAMWAY,TRAM 3b,RATP
"[48.979276125334614, 2.380204254325135]",Paul Valéry,TRAMWAY,TRAM 5,RATP
