station_coordinates,station_name,station_slug,station_type,transport_type,transport_index
"[48.94780764866504, 2.3391809234155634]",Blumenthal,Blumenthal,TRAMWAY,TRAM 8,8
"[48.94993773472301, 2.3288321713539433]",Les Mobiles,Les Mobiles,TRAMWAY,TRAM 8,8
"[48.955876873953365, 2.311526308692632]",Lacépède,Lacépède,TRAMWAY,TRAM 8,8
"[48.934608566729516, 2.3214951981707097]",Chemin des Reniers,Chemin des Reniers,TRAMWAY,TRAM 1,1
"[48.933355381294895, 2.2946029893860733]",Le Village,Le Village,TRAMWAY,TRAM 1,1
"[48.90766458300991, 2.2383093022906753]",Charlebourg,Charlebourg,TRAMWAY,TRAM 2,2
"[48.91080258881115, 2.2339886014254824]",Jacqueline Auriol,Jacqueline Auriol,TRAMWAY,TRAM 2,2
"[48.85870400928585, 2.4096856856041025]",Marie de Miribel,Marie de Miribel,TRAMWAY,TRAM 3b,3B
"[48.83038858965819, 2.393449698306367]",Baron Le Roy,Baron Le Roy,TRAMWAY,TRAM 3a,3A
"[48.89849110062258, 2.3636513821811365]",Colette Besson,Colette Besson,TRAMWAY,TRAM 3b,3B
"[48.97749308904135, 2.372242923708273]",Les Cholettes,Les Cholettes,TRAMWAY,TRAM 5,5
"[48.938947882682534, 2.356334439358092]",Marché de Saint-Denis,Marché de Saint-Denis,TRAMWAY,TRAM 5,5
"[48.71451272435505, 2.371747143464364]",Porte de l'Essonne,Porte de l'Essonne,TRAMWAY,TRAM 7,7
"[48.785121412393345, 2.1787985902704734]",Robert Wagner,Robert Wagner,TRAMWAY,TRAM 6,6
"[48.78368721429029, 2.246977649164127]",Mail de la Plaine,Mail de la Plaine,TRAMWAY,TRAM 6,6
"[48.78045471059558, 2.1914099192732954]",Mairie de Vélizy,Mairie de Vélizy,TRAMWAY,TRAM 6,6
"[48.89832910346501, 2.3517120717216233]",Diane Arbus,Diane Arbus,TRAMWAY,TRAM 3b,3B
"[48.889739950170885, 2.303276049692934]",Porte d'Asnières,Porte d'Asnières,TRAMWAY,TRAM 3b,3B
