station_coordinates,station_type_voie,station_dep,line_separation
"[48.878550782128045, 2.411397659937055]",VSU1,93,PR
"[48.87286066077729, 2.2958924787549506]",VSU1,75,FR
"[48.83241038772996, 2.360877722176067]",VDS,75,PR
"[48.83743789950705, 2.3540485783259357]",VDS,75,PR
"[48.839260332178526, 2.2744400545330805]",VSU2,75,FR
"[48.87994800677906, 2.329163657737823]",VSU1,75,FR
"[48.86302640108391, 2.323449459475028]",VSU1,75,FR
"[48.85142246249364, 2.375937545732187]",VSU1,75,FR
"[48.89033010168927, 2.3570963644556846]",VSU1,75,FR
"[48.875585951466896, 2.3268191148603137]",VDSC,75,FR
"[48.887673388740254, 2.314630697460449]",VSU1,75,FR
"[48.865767022817565, 2.3547202340541253]",VSU1,75,FR
"[48.830923551094735, 2.3564808877749424]",VSU1,75,PR
"[48.84463729887018, 2.3215431535727333]",VDS,75,FR
"[48.82550140849549, 2.3407819334969444]",VSU1,75,FR
"[48.8354866414972, 2.3857071974118016]",VDS,75,FR
"[48.83998530762134, 2.361912499455317]",VDS,75,PR
"[48.81965089219912, 2.344235861848017]",VSU2,75,FR
"[48.82067201638672, 2.343456466916175]",VSU2,75,FR
"[48.88635947619608, 2.3413924473127823]",VSU1,75,FR
"[48.87958642526032, 2.3568638781444924]",VSU1,75,PR
"[48.83573828582169, 2.301596266889322]",VSU1,75,FR
"[48.87434477515843, 2.3586450382534245]",VSU1,75,PR
"[48.88940704603874, 2.37541424193552]",VSU1,75,FR
"[48.885379210402135, 2.293796101900697]",VSU1,75,FR
"[48.89144510497265, 2.3020380788224784]",VDS,75,PR
"[48.875157821220334, 2.279398437761679]",VSU1,75,FR
"[48.85719245085729, 2.3470925047653273]",VDSC,75,FR
"[48.898450761498516, 2.3863209535758125]",VDS,75,FR
"[48.88238568410109, 2.3958983851791604]",VSU1,75,FR
"[48.81954970379208, 2.343995989223571]",VSU2,75,FR
"[48.873599098476824, 2.3427614198962767]",VSU1,75,FR
"[48.83768932822109, 2.335637754710429]",VSU1,75,FR
"[48.83433497265386, 2.3048258803864035]",VSU1,75,FR
"[48.86889088031024, 2.367569521411941]",VSU1,75,FR
"[48.856849624920656, 2.348492245457756]",VSU1,75,FR
"[48.8644167434796, 2.310353929683947]",VSU2,75,FR
"[48.869043480281306, 2.2819321897359806]",VSU1,75,FR
"[48.87740874336277, 2.4087960538588833]",VSU1,75,PR
"[48.884838850718815, 2.3593460599227853]",VSU1,75,FR
"[48.86489576231911, 2.3738116588240668]",VSU1,75,FR
"[48.8394703462826, 2.3371273256000467]",VDS,75,PR
"[48.866139486216014, 2.361245358610438]",VSU1,75,FR
"[48.85726575324827, 2.3470264841849358]",VSU1,75,FR
"[48.870869260836514, 2.31002346206796]",VSU1,75,PR
"[48.87510449531101, 2.311005801669851]",VDS,75,FR
"[48.87194323450688, 2.330664782556696]",VSU1,75,FR
"[48.866562736678425, 2.3510110881060386]",VSU1,75,FR
"[48.845713368992904, 2.3729665344794593]",VSU1,75,FR
"[48.83730495370188, 2.2965982013133526]",VSU1,75,FR
"[48.84214095034106, 2.3203087599308416]",VSU1,75,FR
"[48.865001576498756, 2.3656009604551955]",VDS,75,FR
"[48.86242099444615, 2.315120284534072]",VSU2,75,FR
"[48.88359164320797, 2.3272276076005456]",VSU1,75,FR
"[48.85600714771778, 2.3255940747295263]",VDS,75,FR
"[48.81831455061226, 2.3597139082702934]",VDS,75,PR
"[48.83343890544146, 2.332600887733118]",VSU1,75,FR
"[48.859926133437675, 2.2949973711023763]",VSU1,75,FR
"[48.8493299042045, 2.3570082085981046]",VSU1,75,FR
"[48.848979730977405, 2.327556622391807]",VDS,75,FR
"[48.84638011745059, 2.372061296993774]",VSU1,75,PR
"[48.83982666235379, 2.2632633543020053]",VSU1,75,FR
"[48.88350553653771, 2.3277130562625814]",VSU1,75,FR
"[48.88271563996446, 2.3432084745942086]",VDS,75,FR
"[48.83010556321442, 2.318623551672413]",VSU1,75,FR
"[48.90120336005528, 2.370266344278355]",VSU1,75,FR
"[48.84621289118868, 2.3768378110192665]",VSU1,75,FR
"[48.84516447915695, 2.3112799988271697]",VSU1,75,FR
"[48.8616431097351, 2.36709306779417]",VDS,75,FR
"[48.88829601037212, 2.304438254893522]",VSU1,75,FR
"[48.85852740090519, 2.348224509753379]",VSU1,75,FR
"[48.874948300659916, 2.324684759693951]",VSU1,75,FR
"[48.860650698810176, 2.340698913844871]",VSU1,75,FR
"[48.835805887916145, 2.38629152201278]",VDS,75,FR
"[48.8546971618014, 2.368768121026961]",VDS,75,FR
"[48.86860582876372, 2.341624872792003]",VSU1,75,FR
"[48.847455587912336, 2.2576227732633685]",VDS,75,PR
"[48.82011354994589, 2.3297335924106415]",VSU1,75,PR
"[48.890538534156846, 2.359898535298299]",VSU1,75,FR
"[48.845918921043385, 2.3722414302164503]",VSU1,75,FR
"[48.84546195264334, 2.3708070771849066]",VDS,75,FR
"[48.86075940331286, 2.341401240555847]",VSU1,75,PR
"[48.87840057857441, 2.345570033321909]",VSU1,75,FR
"[48.86263741523852, 2.3353316164674]",VSU1,75,PR
"[48.89059035804649, 2.349596948157123]",VDS,75,PR
"[48.82241756415178, 2.325705123617533]",VSU1,75,PR
"[48.86471116751137, 2.3348397628970807]",VDS,75,FR
"[48.87631598400184, 2.34078571769607]",VSU1,75,FR
"[48.85805725197694, 2.3496776693889956]",VSU1,75,PR
